# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
APC,70797900
FP,98494121
PC,96973930
PC,92562123
APC,1990842033
PC,1989628303
PC,278415929
FP,349786918
FA,376168473
PC,179580045
FP,152714791
PC,47525799
FP,264303333
PC,229715760
PC,233066156
PC,367855829
PC,233688779
PC,265146266
PC,262880065
PC,198485881
PC,219821826
PC,219501568
FP,47484268
PC,232568235
PC,229787062
PC,165530380
PC,159400561
PC,235943205
PC,310231275
PC,8348911
PC,459837008
PC,459837008
PC,20203297
FA,441798995
PC,441798995
PC,441798995
PC,2760710
PC,198178505
PC,258389327
PC,265460043
PC,142117976
PC,289164482
PC,289164482
PC,272679240
PC,198456933
PC,288516853
PC,243313296
PC,115623434
KP,77044471
PC,115583726
PC,264171144
PC,237211410
PC,198211976
PC,115446313
CP,329148988
PC,237201858
PC,160077104
PC,462615350
PC,82452140
KP,120610833
PC,321688498
PC,236934937
PC,236934268
PC,71347873
PC,284361752
PC,48018596
PC,165554103
PC,233500935
PC,229608594
PC,362220495
FA,160074939
PC,280031353
PC,280031353
PC,283829553
APC,144000801
FP,197959526
PC,70420766
APC,232079930
PC,147284470
PC,270219048
PC,234489976
PC,328012209
KP,204376737
PC,38467100
APC,25139786
PC,147425389
PC,325468685
PC,355446093
APC,302333151
APC,61980227
FP,274599700
PC,88840705
CP,349488688
KP,402026209
FP,207501148
PC,138126035
PC,300812741
PC,300812741
FP,293527670
PC,69819610
APC,152800085
PC,175456679
PC,177308364
PC,394287035
PC,238920875
PC,415969908
KP,180991313
PC,168751223
PC,286000547
PC,358579111
PC,200743403
APC,160003961
PC,88902249
PC,230001847
PC,24358417
PC,279514271
PC,12423815
FP,29959761
PC,100267480
FP,100589632
PC,166834768
PC,311179742
PC,91555165
PC,91555165
PC,317483660
APC,301343785
PC,317019074
APC,405452527
PC,280095254
PC,47601197
PC,47601197
APC,290036495
PC,32925763
PC,177079323
FP,219766989
PC,124515764
PC,30947715
PC,124206468
PC,124095888
PC,436102447
FP,9727392
FP,31656385
PC,204671232
PC,302924206
PC,445456888
PC,39414571
PC,344085117
PC,39218269
PC,441159680
PC,401125028
PC,220068921
CP,305048087
PC,347357977
PC,432132155
APC,189620016
PC,332558858
PC,439366538
PC,164150537
PC,326522874
APC,146165619
PC,231063955
PC,201177276
PC,9006668
KP,176220787
PC,39080923
PC,2760219
APC,20897611
PC,382602147
PC,231850364
KP,32487566
PC,237885040
PC,382625239
PC,89544985
KP,9725627
PC,369965258
PC,299897516
PC,149349867
PC,149349867
PC,231071138
PC,144297844
PC,144124187
APC,333734769
PC,306337838
PC,322807675
PC,219701535
PC,101948569
FP,260849386
PC,11521555
PC,1525480
KP,293435336
PC,142087638
PC,142087638
PC,142087638
PC,231297123
CP,212957629
PC,153078576
PC,67630845
FA,321068176
KP,77031414
APC,248391319
PC,10837041
FA,684936227
FP,206498307
KP,237320326
PC,161223358
PC,237922465
FP,49617263
FP,65347776
PC,358248442
FP,120585579
PC,268532343
PC,70524163
APC,29919341
PC,197807043
FP,313891529
PC,248387177
PC,97486178
PC,142937186
APC,274193763
PC,420051632
APC,149010208
PC,23170835
PC,258804746
PC,347553438
PC,405763009
APC,155001079
PC,298164705
PC,154568734
APC,251094370
FP,686072378
PC,274194927
PC,118327550
APC,129839175
PC,219175972
PC,219175972
FP,168871868
PC,318753380
PC,29959760
CP,439867639
PC,142868621
PC,1167538
FP,231721005
PC,231721005
PC,170729775
PC,154618248
PC,408114363
FP,4294779
